instance_size;creating_time;adding_time;inserting_time;searching_time;deleting_time
500;0,000997304916381836;0,0;0,0;0,0;0,0
1000;0,000997304916381836;0,0;0,0;0,0;0,0
1500;0,000997304916381836;0,0;0,0009963512420654297;0,0009737014770507812;0,0
2000;0,000997304916381836;0,0;0,0;0,0;0,0
2500;0,000997304916381836;0,0;0,0009987354278564453;0,0009961128234863281;0,0
3000;0,000997304916381836;0,0;0,0;0,0009980201721191406;0,0
3500;0,000997304916381836;0,0;0,0009961128234863281;0,0;0,0
4000;0,000997304916381836;0,0;0,000995635986328125;0,0009968280792236328;0,0
4500;0,000997304916381836;0,0;0,0009992122650146484;0,0009970664978027344;0,0
5000;0,000997304916381836;0,0;0,000997781753540039;0,000997304916381836;0,0
5500;0,0019943714141845703;0,0;0,0010139942169189453;0,001994609832763672;0,0
6000;0,0019943714141845703;0,0;0,0009818077087402344;0,001008749008178711;0,0
6500;0,0019943714141845703;0,0;0,001012563705444336;0,0009860992431640625;0,0
7000;0,0019943714141845703;0,0;0,0019922256469726562;0,0019936561584472656;0,0
7500;0,0019943714141845703;0,0;0,0010173320770263672;0,0020182132720947266;0,0
8000;0,0019943714141845703;0,0;0,0009832382202148438;0,0009741783142089844;0,0
8500;0,0019943714141845703;0,0;0,0020227432250976562;0,001994609832763672;0,0
9000;0,0019943714141845703;0,0;0,001995086669921875;0,0029931068420410156;0,0
9500;0,0019943714141845703;0,0;0,0010046958923339844;0,0019922256469726562;0,0
10000;0,0019943714141845703;0,0;0,0010123252868652344;0,0019943714141845703;0,0
10500;0,0019943714141845703;0,0;0,002977132797241211;0,0029931068420410156;0,0
11000;0,002991914749145508;0,0;0,002031087875366211;0,002007722854614258;0,0
11500;0,002991914749145508;0,0;0,002958059310913086;0,0030040740966796875;0,0
12000;0,002991914749145508;0,0;0,001990795135498047;0,0020279884338378906;0,0
12500;0,002991914749145508;0,0;0,002991914749145508;0,0020241737365722656;0,0
13000;0,002991914749145508;0,0;0,001994609832763672;0,0019555091857910156;0,0
13500;0,002991914749145508;0,0;0,0029947757720947266;0,0019958019256591797;0,0
14000;0,002991914749145508;0,0;0,001994609832763672;0,0029687881469726562;0,0
14500;0,002991914749145508;0,0;0,0029935836791992188;0,003019571304321289;0,0
15000;0,002991914749145508;0,0;0,0029888153076171875;0,002958059310913086;0,0
